branch,stage,status,candidate,target_label,alpha,selection_score,oof_f1,fold_mean,fold_std,full_dev_threshold,notes
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.675,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.3859376034078498,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.675,80.34474185846827,81.26186244998127,81.32375639121628,3.916058130992047,0.4804155941742162,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.7,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.9680315911769867,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.7,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.3950228886057932,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.7,79.82367384709238,80.7264367816092,80.72737134461698,3.6147899900983873,0.4523712548116843,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.725,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8427510761966308,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.725,96.50414642078185,96.85261421863001,96.83957223198476,1.3417032448116346,0.4017263142469649,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.725,80.44751636653028,81.35400031878645,81.37918592464048,3.726678232440819,0.45686523960903286,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.75,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8454036079347134,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.75,96.36749339983497,96.70381157103404,96.68917142038654,1.2867120822063032,0.41273862084684265,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.75,79.38384433440311,80.22104783691171,80.20984019234028,3.3039834317486743,0.4304814521844188,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.775,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8480561396727959,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.775,96.36749339983497,96.70381157103404,96.68917142038654,1.2867120822063032,0.8749069108782956,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.775,78.9248155995341,79.83499262536873,79.8107708160881,3.5438208662159636,0.40921322409218797,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.8,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8507086714108785,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.8,96.36749339983497,96.70381157103404,96.68917142038654,1.2867120822063032,0.8875516815731922,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.8,78.70240163096143,79.74062207867006,79.66952656262812,3.8684997266667294,0.39930731964608035,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.825,97.0354688698563,97.37243764369481,97.35632586122036,1.2834279654562144,0.853361203148961,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.825,96.36749339983497,96.70381157103404,96.68917142038654,1.2867120822063032,0.9001964522680888,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.825,79.91956279339766,80.79853549130846,80.80601065548508,3.5457914483497173,0.38708656518720086,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.85,97.0354688698563,97.37243764369481,97.35632586122036,1.2834279654562144,0.8560137348870436,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.85,96.36749339983497,96.70381157103404,96.68917142038654,1.2867120822063032,0.9727420270442961,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.85,79.07543840587093,80.1331662182021,80.0346699029499,3.8369259883159255,0.3698739638241628,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,B,frozen_for_single_test_evaluation,exact_target_cross_backbone,all_targets,"{""code_switching"": 0.525, ""idiom_figurative"": 0.475, ""irony"": 0.5}",91.71518923051637,84.32598782511026,92.02194843150362,1.227036803948929,"{""code_switching"": 0.4979324186919256, ""idiom_figurative"": 0.9264976292848586, ""implicit_sentiment"": 0.55, ""irony"": 0.9622951745986937, ""mocking"": 0.35, ""sarcasm"": 0.87}",protected labels fixed to incumbent probabilities and thresholds; candidate frozen before test labels
compact_encoder_screen,A,rejected,visobert_clsmeanmax_mlp_20261021,all,,90.10110203597168,82.38473398478784,90.37208240169078,1.0839214628764549,exact_per_label,one-seed compact architecture; development-only; test not evaluated
new_target_representation,A,evaluated,irony_tapt_viso_attention_hard_20261111,irony,,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.6007367745041847,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
new_target_representation,A,evaluated,idiom_tapt_viso_attention_hard_20261121,idiom_figurative,,96.54501066149261,96.86888454011742,96.86788677870254,1.2915044688397248,0.0695622693747282,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
new_target_representation,A,evaluated,code_tapt_viso_tokenaux_hard_20261131,code_switching,,77.45625451246075,78.50627990430623,78.39004577385742,3.735165045586693,0.4736069142818451,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
new_target_representation,A,evaluated,irony_tapt_viso_attention_hard_3seed,irony,,97.00040654021807,97.35899971337379,97.3313403448939,1.323735218703339,0.9953428506851195,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
new_target_representation,A,evaluated,irony_tapt_pho_clsmean_hard_20261114,irony,,97.1455283211196,97.37243764369481,97.35554634513885,0.8400720960770155,0.8620081543922424,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
new_target_representation,A,evaluated,idiom_tapt_pho_clsmeanmax_hard_20261122,idiom_figurative,,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.5538873225450516,dedicated binary expert; exact nested OOF threshold; train-only checkpoint selection
